episode,episode_seed,taskset_seed,scenario_seed,network_seed,exploration_seed,replay_seed,total_util,num_tasks,taskset_fingerprint,steps,step_count,selected_action_count,total_reward,epsilon,loss_mean,loss_last,accepted_actions,rejected_actions,noop_actions,explicit_noop_actions,noop_action_rate,explicit_noop_action_rate,accepted_action_rate,rejected_action_rate,safety_checked_actions,selected_invalid_mask_actions,action_space_type,action_count,budget_increase_ratio,budget_decrease_ratio,budget_floor_ratio,valid_action_count_mean,masked_action_count_mean,masked_decrease_hi_forbidden_count,masked_decrease_hi_forbidden_rate,masked_budget_floor_violation_count,masked_budget_floor_violation_rate,no_safe_action_steps,selected_explicit_noop_actions,selected_explicit_noop_rate,mode_changes,lo_cancellations,deadline_misses,job_starts,lo_overruns,hi_overruns,reward_job_start_sum,reward_lo_overrun_sum,reward_hi_overrun_sum,reward_mode_change_sum,reward_lo_cancellation_sum,reward_deadline_miss_sum,reward_paper_sum,reward_noop_bonus_sum,reward_budget_change_penalty_sum,reward_budget_change_norm_sum,reward_budget_drift_penalty_sum,reward_budget_drift_mean_sum,noop_exploration_prob,exploration_action_count,exploration_noop_action_count,exploration_noop_action_rate,observation_mode,state_dim,feature_safety_margin_min_mean,feature_safety_margin_min_p05
20,20,825,100020,0,0,0,0.65,12,cd2bb6633393,20,20,20,-11.97849623815626,0.9202,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.53846153846154,4.461538461538462,0,0.0,61,0.06256410256410257,0,0,0.0,715,149,0,14839,149,715,0.0,-0.40039997450642967,-3.4019075662610345,-7.775788722882366,-0.40039997450642967,0.0,0.0,0.0,0.0,0.9115178896588945,0.0,0.2464417752137047,0.0,20,0,0.0,v11_no_max_9d,116,0.0033551554828150573,0.0
21,21,825,100021,0,0,0,0.65,12,cd2bb6633393,20,20,20,-10.561706629706341,0.9164,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,21.05128205128205,3.948717948717949,0,0.0,25,0.02564102564102564,0,0,0.0,633,122,0,14874,122,633,0.0,-0.3260623509127333,-3.015959717181136,-6.89362221069974,-0.3260623509127333,0.0,0.0,0.0,0.0,1.294574738094142,0.0,0.17374366369221197,0.0,18,0,0.0,v11_no_max_9d,116,0.005376344086021507,0.0
22,22,825,100022,0,0,0,0.65,12,cd2bb6633393,20,20,20,-4.700164600979343,0.9126,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.23076923076923,4.769230769230769,0,0.0,19,0.019487179487179488,0,0,0.0,250,171,0,15160,171,250,0.0,-0.4510056196833761,-1.155959718751658,-2.6421936428609323,-0.4510056196833761,0.0,0.0,0.0,0.0,1.116030846675507,0.0,0.14022823326058065,0.0,20,0,0.0,v11_no_max_9d,116,0.0,0.0
23,23,825,100023,0,0,0,0.65,12,cd2bb6633393,20,20,20,-8.951952264262136,0.9088,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,22.333333333333332,2.6666666666666665,0,0.0,19,0.019487179487179488,0,0,0.0,532,132,0,14982,132,532,0.0,-0.3511721352780059,-2.5107502589540385,-5.738857734752087,-0.3511721352780059,0.0,0.0,0.0,0.0,1.1908705881290078,0.0,0.13248052817329925,0.0,19,0,0.0,v11_no_max_9d,116,0.005973813420621932,0.0
24,24,825,100024,0,0,0,0.65,12,cd2bb6633393,20,20,20,-12.396476988124787,0.905,0.08890177309513092,0.08890177309513092,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.974358974358974,5.0256410256410255,0,0.0,59,0.06051282051282051,0,0,0.0,757,112,0,14848,112,757,0.0,-0.3003473137157007,-3.5900207184718993,-8.205761642221487,-0.3003473137157007,0.0,0.0,0.0,0.0,1.5562903006751732,0.0,0.23464513969857917,0.0,19,0,0.0,v11_no_max_9d,116,0.003552690814081176,0.0
25,25,825,100025,0,0,0,0.65,12,cd2bb6633393,20,20,20,-11.794387266017635,0.9012,0.0924730733036995,0.1252635419368744,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.435897435897434,4.564102564102564,0,0.0,73,0.07487179487179488,0,0,0.0,698,173,0,14852,173,698,0.0,-0.4648981475055572,-3.3066146433498105,-7.557976327656712,-0.4648981475055572,0.0,0.0,0.0,0.0,1.8949102133845133,0.0,0.3554145795022727,0.0,17,0,0.0,v11_no_max_9d,116,0.0068247781739779415,0.0
26,26,825,100026,0,0,0,0.65,12,cd2bb6633393,20,20,20,-5.5218142663454355,0.8974,0.09269232489168644,0.08534042537212372,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.58974358974359,6.410256410256411,0,0.0,45,0.046153846153846156,0,0,0.0,292,202,0,15117,202,292,0.0,-0.534518146723959,-1.355193296099245,-3.097584676798273,-0.534518146723959,0.0,0.0,0.0,0.0,1.7907958678007865,0.0,0.20301089897452357,0.0,16,0,0.0,v11_no_max_9d,116,0.0,0.0
27,27,825,100027,0,0,0,0.65,12,cd2bb6633393,20,20,20,-6.9478919346581165,0.8936,0.0924473624676466,0.0887686088681221,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,21.871794871794872,3.128205128205128,0,0.0,11,0.011282051282051283,0,0,0.0,402,140,0,15014,140,402,0.0,-0.37207470521585007,-1.8880955508515183,-4.315646973374897,-0.37207470521585007,0.0,0.0,0.0,0.0,1.2660842428143761,0.0,0.16943467651967573,0.0,17,0,0.0,v11_no_max_9d,116,0.0029153338958770774,0.0
28,28,825,100028,0,0,0,0.65,12,cd2bb6633393,20,20,20,-6.353846032451269,0.8898,0.07991840057075024,0.07488252222537994,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,21.923076923076923,3.076923076923077,0,0.0,45,0.046153846153846156,0,0,0.0,350,184,0,15056,184,350,0.0,-0.4889382280201752,-1.6361646536902794,-3.7398049227206394,-0.4889382280201752,0.0,0.0,0.0,0.0,0.9990145030399069,0.0,0.25453079102800924,0.0,18,0,0.0,v11_no_max_9d,116,0.002099236641221374,0.0
29,29,825,100029,0,0,0,0.65,12,cd2bb6633393,20,20,20,-5.9696506994491125,0.886,0.07503590919077396,0.08156685531139374,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,21.41025641025641,3.58974358974359,0,0.0,51,0.052307692307692305,0,0,0.0,336,152,0,15006,152,336,0.0,-0.4047852352303927,-1.5704592001268827,-3.589621028861446,-0.4047852352303927,0.0,0.0,0.0,0.0,0.5513525363153423,0.0,0.2206292268641667,0.0,17,0,0.0,v11_no_max_9d,116,0.0,0.0
