seed,parent_lo_quality_qos,teacher_lo_quality_qos,qos_retention,parent_lo_zero_service_ratio,teacher_lo_zero_service_ratio,zero_service_retention,parent_lo_equiv_jne,teacher_lo_equiv_jne,tree_lo_quality_qos,tree_lo_zero_service_ratio,tree_lo_equiv_jne,equiv_jne_retention,tree_depth,tree_node_count,tree_leaf_count,tree_raw_top1_invalid_rate,tree_fallback_rate,tree_deadline_misses,tree_hi_deadline_misses,tree_lo_deadline_misses,teacher_no_positive_qos_gain,teacher_no_positive_zero_service_gain,teacher_no_positive_equiv_jne_gain
1561,0.8395833333333333,0.87,1.0547945205479465,0.10833333333333334,0.07791666666666666,1.054794520547945,1155.0,936.0,0.8716666666666667,0.07625,924.0,1.0547945205479452,3,11,6,0.0,0.0,0,0,0,False,False,False
1562,0.8384722222222222,0.8681944444444445,1.0186915887850458,0.10972222222222222,0.08,1.018691588785047,1163.0,949.0,0.86875,0.07944444444444444,945.0,1.0186915887850467,3,11,6,0.0,0.0,0,0,0,False,False,False
1563,0.8376388888888889,0.8688888888888889,1.0,0.10736111111111112,0.07611111111111112,1.0,1169.0,944.0,0.8688888888888889,0.07611111111111112,944.0,1.0,3,11,6,0.0,0.0,0,0,0,False,False,False
1564,0.8352777777777778,0.8685416666666667,1.0250521920668065,0.11208333333333333,0.07875,1.0250000000000001,1186.0,946.5,0.869375,0.07791666666666666,940.5,1.0250521920668059,3,11,6,0.0,0.0,0,0,0,False,False,False
1565,0.8375694444444445,0.8682638888888888,1.0,0.11208333333333333,0.08138888888888889,1.0,1169.5,948.5,0.8682638888888888,0.08138888888888889,948.5,1.0,3,11,6,0.0,0.0,0,0,0,False,False,False
1566,0.8393055555555555,0.8717361111111112,1.0128479657387566,0.10847222222222222,0.07597222222222222,1.0128205128205128,1157.0,923.5,0.8721527777777778,0.07555555555555556,920.5,1.0128479657387581,3,11,6,0.0,0.0,0,0,0,False,False,False
1567,0.8323611111111111,0.8625,1.0276497695852504,0.10972222222222222,0.07958333333333334,1.0276497695852536,1207.0,990.0,0.8633333333333333,0.07875,984.0,1.0276497695852536,3,11,6,0.0,0.0,0,0,0,False,False,False
1568,0.838125,0.8664583333333333,1.009803921568629,0.10375,0.07541666666666667,1.0098039215686274,1165.5,961.5,0.8667361111111112,0.0751388888888889,959.5,1.0098039215686274,3,11,6,0.0,0.0,0,0,0,False,False,False
1569,0.8358333333333333,0.8665972222222222,1.0,0.10805555555555556,0.07722222222222222,1.0,1182.0,960.5,0.8665972222222222,0.07722222222222222,960.5,1.0,3,11,6,0.0,0.0,0,0,0,False,False,False
1570,0.8436805555555555,0.8766666666666667,1.012631578947367,0.10791666666666666,0.07486111111111111,1.0126050420168071,1125.5,888.0,0.8770833333333333,0.07444444444444444,885.0,1.0126315789473683,3,11,6,0.0,0.0,0,0,0,False,False,False
1571,0.8461111111111111,0.875,1.004807692307693,0.10541666666666667,0.07652777777777778,1.004807692307692,1108.0,900.0,0.8751388888888889,0.0763888888888889,899.0,1.0048076923076923,3,11,6,0.0,0.0,0,0,0,False,False,False
1572,0.8370138888888888,0.8686805555555556,1.0219298245614035,0.11,0.07833333333333334,1.021929824561404,1173.5,945.5,0.869375,0.07763888888888888,940.5,1.0219298245614035,3,11,6,0.0,0.0,0,0,0,False,False,False
1573,0.8341666666666666,0.8663888888888889,1.0215517241379308,0.11069444444444444,0.07847222222222222,1.021551724137931,1194.0,962.0,0.8670833333333333,0.07777777777777778,957.0,1.021551724137931,3,11,6,0.0,0.0,0,0,0,False,False,False
1574,0.8328472222222222,0.8631944444444445,1.022883295194508,0.10944444444444444,0.07902777777777778,1.0228310502283104,1203.5,985.0,0.8638888888888889,0.07833333333333334,980.0,1.022883295194508,3,11,6,0.0,0.0,0,0,0,False,False,False
1575,0.8479861111111111,0.8786805555555556,1.0180995475113115,0.10347222222222222,0.07277777777777777,1.0180995475113124,1094.5,873.5,0.8792361111111111,0.07222222222222222,869.5,1.0180995475113122,3,11,6,0.0,0.0,0,0,0,False,False,False
1576,0.8415972222222222,0.8695138888888889,1.0199004975124368,0.10513888888888889,0.07722222222222222,1.019900497512438,1140.5,939.5,0.8700694444444445,0.07666666666666666,935.5,1.0199004975124377,3,11,6,0.0,0.0,0,0,0,False,False,False
1577,0.8430555555555556,0.8725694444444444,0.985882352941178,0.10666666666666667,0.07708333333333334,0.9859154929577466,1130.0,917.5,0.8721527777777778,0.0775,920.5,0.9858823529411764,3,11,6,0.0,0.0,0,0,0,False,False,False
1578,0.8397222222222223,0.8718055555555555,1.012987012987015,0.10958333333333334,0.0775,1.0129870129870129,1154.0,923.0,0.8722222222222222,0.07708333333333334,920.0,1.0129870129870129,3,11,6,0.0,0.0,0,0,0,False,False,False
1579,0.8373611111111111,0.8684027777777777,1.0223713646532437,0.10958333333333334,0.07847222222222222,1.0223214285714284,1171.0,947.5,0.8690972222222222,0.07777777777777778,942.5,1.0223713646532437,3,11,6,0.0,0.0,0,0,0,False,False,False
1580,0.8386111111111111,0.87125,1.0212765957446808,0.10833333333333334,0.07569444444444444,1.0212765957446808,1162.0,927.0,0.8719444444444444,0.075,922.0,1.0212765957446808,3,11,6,0.0,0.0,0,0,0,False,False,False
1581,0.8351388888888889,0.8684722222222222,1.012500000000002,0.11041666666666666,0.07708333333333334,1.0125000000000004,1187.0,947.0,0.8688888888888889,0.07666666666666666,944.0,1.0125,3,11,6,0.0,0.0,0,0,0,False,False,False
1582,0.8401388888888889,0.8709722222222223,1.0045045045045016,0.10916666666666666,0.07833333333333334,1.0045045045045047,1151.0,929.0,0.8711111111111111,0.07819444444444444,928.0,1.0045045045045045,3,11,6,0.0,0.0,0,0,0,False,False,False
1583,0.8349305555555555,0.866875,1.0217391304347825,0.11055555555555556,0.07861111111111112,1.021739130434783,1188.5,958.5,0.8675694444444444,0.07791666666666666,953.5,1.0217391304347827,3,11,6,0.0,0.0,0,0,0,False,False,False
1584,0.8438888888888889,0.8748611111111111,1.004484304932736,0.10652777777777778,0.07555555555555556,1.0044843049327352,1124.0,901.0,0.875,0.07541666666666667,900.0,1.0044843049327354,3,11,6,0.0,0.0,0,0,0,False,False,False
1585,0.8409027777777778,0.8740972222222222,1.012552301255232,0.10861111111111112,0.07541666666666667,1.0125523012552304,1145.5,906.5,0.8745138888888889,0.075,903.5,1.0125523012552302,3,11,6,0.0,0.0,0,0,0,False,False,False
1586,0.8395138888888889,0.8709027777777778,1.0044247787610627,0.10597222222222222,0.07458333333333333,1.0044247787610623,1155.5,929.5,0.8710416666666667,0.07444444444444444,928.5,1.0044247787610618,3,11,6,0.0,0.0,0,0,0,False,False,False
1587,0.8354166666666667,0.8659722222222223,1.0181818181818174,0.11083333333333334,0.08027777777777778,1.0181818181818183,1185.0,965.0,0.8665277777777778,0.07972222222222222,961.0,1.018181818181818,3,11,6,0.0,0.0,0,0,0,False,False,False
1588,0.8390972222222223,0.8703472222222223,1.017777777777777,0.10666666666666667,0.07541666666666667,1.017777777777778,1158.5,933.5,0.8709027777777778,0.07486111111111111,929.5,1.0177777777777777,3,11,6,0.0,0.0,0,0,0,False,False,False
