seed,parent_lo_quality_qos,teacher_lo_quality_qos,qos_retention,parent_lo_zero_service_ratio,teacher_lo_zero_service_ratio,zero_service_retention,parent_lo_equiv_jne,teacher_lo_equiv_jne,tree_lo_quality_qos,tree_lo_zero_service_ratio,tree_lo_equiv_jne,equiv_jne_retention,tree_depth,tree_node_count,tree_leaf_count,tree_raw_top1_invalid_rate,tree_fallback_rate,tree_deadline_misses,tree_hi_deadline_misses,tree_lo_deadline_misses,teacher_no_positive_qos_gain,teacher_no_positive_zero_service_gain,teacher_no_positive_equiv_jne_gain
1562,0.8384722222222222,0.8681944444444445,1.0280373831775669,0.10972222222222222,0.08,1.0280373831775702,1163.0,949.0,0.8690277777777777,0.07916666666666666,943.0,1.02803738317757,4,19,10,0.07,0.07,0,0,0,False,False,False
1563,0.8376388888888889,0.8688888888888889,1.017777777777777,0.10736111111111112,0.07611111111111112,1.017777777777778,1169.0,944.0,0.8694444444444445,0.07555555555555556,940.0,1.0177777777777777,4,19,10,0.0875,0.0875,0,0,0,False,False,False
1564,0.8352777777777778,0.8685416666666667,1.0250521920668065,0.11208333333333333,0.07875,1.0250000000000001,1186.0,946.5,0.869375,0.07791666666666666,940.5,1.0250521920668059,4,19,10,0.0975,0.0975,0,0,0,False,False,False
1565,0.8375694444444445,0.8682638888888888,1.0135746606334863,0.11208333333333333,0.08138888888888889,1.0135746606334841,1169.5,948.5,0.8686805555555556,0.08097222222222222,945.5,1.0135746606334841,4,19,10,0.0875,0.0875,0,0,0,False,False,False
1566,0.8393055555555555,0.8717361111111112,1.0214132762312633,0.10847222222222222,0.07597222222222222,1.0213675213675213,1157.0,923.5,0.8724305555555556,0.07527777777777778,918.5,1.0214132762312633,4,19,10,0.10625,0.10625,0,0,0,False,False,False
1567,0.8323611111111111,0.8625,1.0322580645161266,0.10972222222222222,0.07958333333333334,1.032258064516129,1207.0,990.0,0.8634722222222222,0.07861111111111112,983.0,1.032258064516129,4,19,10,0.09,0.09,0,0,0,False,False,False
1568,0.838125,0.8664583333333333,1.0196078431372542,0.10375,0.07541666666666667,1.019607843137255,1165.5,961.5,0.8670138888888889,0.07486111111111111,957.5,1.0196078431372548,4,19,10,0.09375,0.09375,0,0,0,False,False,False
1569,0.8358333333333333,0.8665972222222222,1.0090293453724584,0.10805555555555556,0.07722222222222222,1.0090090090090091,1182.0,960.5,0.866875,0.07694444444444444,958.5,1.0090293453724606,4,19,10,0.0925,0.0925,0,0,0,False,False,False
1570,0.8436805555555555,0.8766666666666667,1.012631578947367,0.10791666666666666,0.07486111111111111,1.0126050420168071,1125.5,888.0,0.8770833333333333,0.07444444444444444,885.0,1.0126315789473683,4,19,10,0.10375,0.10375,0,0,0,False,False,False
1571,0.8461111111111111,0.875,1.0288461538461546,0.10541666666666667,0.07652777777777778,1.028846153846154,1108.0,900.0,0.8758333333333334,0.07569444444444444,894.0,1.0288461538461537,4,19,10,0.085,0.085,0,0,0,False,False,False
1572,0.8370138888888888,0.8686805555555556,1.0307017543859662,0.11,0.07833333333333334,1.030701754385965,1173.5,945.5,0.8696527777777778,0.07736111111111112,938.5,1.030701754385965,4,19,10,0.10875,0.10875,0,0,0,False,False,False
1573,0.8341666666666666,0.8663888888888889,1.0215517241379308,0.11069444444444444,0.07847222222222222,1.021551724137931,1194.0,962.0,0.8670833333333333,0.07777777777777778,957.0,1.021551724137931,4,19,10,0.1125,0.1125,0,0,0,False,False,False
1574,0.8328472222222222,0.8631944444444445,1.0274599542334064,0.10944444444444444,0.07902777777777778,1.0273972602739727,1203.5,985.0,0.8640277777777777,0.07819444444444444,979.0,1.0274599542334095,4,19,10,0.13625,0.13625,0,0,0,False,False,False
1575,0.8479861111111111,0.8786805555555556,1.0180995475113115,0.10347222222222222,0.07277777777777777,1.0180995475113124,1094.5,873.5,0.8792361111111111,0.07222222222222222,869.5,1.0180995475113122,4,19,10,0.1075,0.1075,0,0,0,False,False,False
1576,0.8415972222222222,0.8695138888888889,1.0298507462686575,0.10513888888888889,0.07722222222222222,1.0298507462686564,1140.5,939.5,0.8703472222222223,0.0763888888888889,933.5,1.0298507462686568,4,19,10,0.1075,0.1075,0,0,0,False,False,False
1577,0.8430555555555556,0.8725694444444444,1.004705882352942,0.10666666666666667,0.07708333333333334,1.0046948356807515,1130.0,917.5,0.8727083333333333,0.07694444444444444,916.5,1.0047058823529411,4,19,10,0.0925,0.0925,0,0,0,False,False,False
1578,0.8397222222222223,0.8718055555555555,1.01731601731602,0.10958333333333334,0.0775,1.0173160173160174,1154.0,923.0,0.8723611111111111,0.07694444444444444,919.0,1.0173160173160174,4,19,10,0.11875,0.11875,0,0,0,False,False,False
1579,0.8373611111111111,0.8684027777777777,1.0268456375838932,0.10958333333333334,0.07847222222222222,1.0267857142857144,1171.0,947.5,0.8692361111111111,0.07763888888888888,941.5,1.0268456375838926,4,19,10,0.10625,0.10625,0,0,0,False,False,False
1580,0.8386111111111111,0.87125,1.0340425531914912,0.10833333333333334,0.07569444444444444,1.0340425531914892,1162.0,927.0,0.8723611111111111,0.07458333333333333,919.0,1.0340425531914894,4,19,10,0.115,0.115,0,0,0,False,False,False
1581,0.8351388888888889,0.8684722222222222,1.012500000000002,0.11041666666666666,0.07708333333333334,1.0125000000000004,1187.0,947.0,0.8688888888888889,0.07666666666666666,944.0,1.0125,4,19,10,0.1275,0.1275,0,0,0,False,False,False
1582,0.8401388888888889,0.8709722222222223,1.0405405405405397,0.10916666666666666,0.07833333333333334,1.0405405405405406,1151.0,929.0,0.8722222222222222,0.07708333333333334,920.0,1.0405405405405406,4,19,10,0.08375,0.08375,0,0,0,False,False,False
1583,0.8349305555555555,0.866875,1.0217391304347825,0.11055555555555556,0.07861111111111112,1.021739130434783,1188.5,958.5,0.8675694444444444,0.07791666666666666,953.5,1.0217391304347827,4,19,10,0.09,0.09,0,0,0,False,False,False
1584,0.8438888888888889,0.8748611111111111,1.0179372197309409,0.10652777777777778,0.07555555555555556,1.0179372197309418,1124.0,901.0,0.8754166666666666,0.075,897.0,1.0179372197309418,4,19,10,0.1325,0.1325,0,0,0,False,False,False
1585,0.8409027777777778,0.8740972222222222,1.0209205020920502,0.10861111111111112,0.07541666666666667,1.0209205020920507,1145.5,906.5,0.8747916666666666,0.07472222222222222,901.5,1.0209205020920502,4,19,10,0.09875,0.09875,0,0,0,False,False,False
1586,0.8395138888888889,0.8709027777777778,1.0088495575221217,0.10597222222222222,0.07458333333333333,1.008849557522124,1155.5,929.5,0.8711805555555555,0.07430555555555556,927.5,1.008849557522124,4,19,10,0.11,0.11,0,0,0,False,False,False
1587,0.8354166666666667,0.8659722222222223,1.0181818181818174,0.11083333333333334,0.08027777777777778,1.0181818181818183,1185.0,965.0,0.8665277777777778,0.07972222222222222,961.0,1.018181818181818,4,19,10,0.1175,0.1175,0,0,0,False,False,False
1588,0.8390972222222223,0.8703472222222223,1.017777777777777,0.10666666666666667,0.07541666666666667,1.017777777777778,1158.5,933.5,0.8709027777777778,0.07486111111111111,929.5,1.0177777777777777,4,19,10,0.09375,0.09375,0,0,0,False,False,False
1589,0.8294444444444444,0.8625,1.016806722689075,0.11569444444444445,0.0825,1.0167364016736402,1228.0,990.0,0.8630555555555556,0.08194444444444444,986.0,1.0168067226890756,4,19,10,0.0775,0.0775,0,0,0,False,False,False
1590,0.8380555555555556,0.8654166666666666,1.04060913705584,0.10888888888888888,0.08138888888888889,1.0404040404040402,1166.0,969.0,0.8665277777777778,0.08027777777777778,961.0,1.0406091370558375,4,19,10,0.09625,0.09625,0,0,0,False,False,False
1591,0.8344444444444444,0.8640972222222222,1.007025761124123,0.11347222222222222,0.08361111111111111,1.0046511627906975,1192.0,978.5,0.8643055555555555,0.08347222222222223,977.0,1.0070257611241218,4,19,10,0.11375,0.11375,0,0,0,False,False,False
1592,0.8333333333333334,0.8679166666666667,1.0160642570281118,0.11458333333333333,0.0798611111111111,1.0159999999999998,1200.0,951.0,0.8684722222222222,0.07930555555555556,947.0,1.0160642570281124,4,19,10,0.0925,0.0925,0,0,0,False,False,False
1593,0.8421527777777778,0.8710416666666667,1.0096153846153824,0.10875,0.0798611111111111,1.0096153846153841,1136.5,928.5,0.8713194444444444,0.07958333333333334,926.5,1.0096153846153846,4,19,10,0.1025,0.1025,0,0,0,False,False,False
1594,0.8375,0.8688888888888889,1.0088495575221217,0.11069444444444444,0.07930555555555556,1.008849557522124,1170.0,944.0,0.8691666666666666,0.07902777777777778,942.0,1.008849557522124,4,19,10,0.11125,0.11125,0,0,0,False,False,False
1595,0.8345833333333333,0.8648611111111111,1.0,0.11069444444444444,0.08041666666666666,1.0,1191.0,973.0,0.8648611111111111,0.08041666666666666,973.0,1.0,4,19,10,0.10125,0.10125,0,0,0,False,False,False
1596,0.8395138888888889,0.8704861111111111,1.0269058295964133,0.10472222222222222,0.07375,1.0269058295964122,1155.5,932.5,0.8713194444444444,0.07291666666666667,926.5,1.0269058295964126,4,19,10,0.11875,0.11875,0,0,0,False,False,False
1597,0.8467361111111111,0.8764583333333333,1.0093457943925248,0.10305555555555555,0.07333333333333333,1.0093457943925235,1103.5,889.5,0.8767361111111112,0.07305555555555555,887.5,1.0093457943925233,4,19,10,0.09875,0.09875,0,0,0,False,False,False
1598,0.8463194444444444,0.8754861111111111,1.0285714285714291,0.10402777777777777,0.07486111111111111,1.0285714285714287,1106.5,896.5,0.8763194444444444,0.07402777777777778,890.5,1.0285714285714285,4,19,10,0.10625,0.10625,0,0,0,False,False,False
1599,0.8414583333333333,0.8742361111111111,1.0296610169491538,0.10458333333333333,0.07180555555555555,1.0296610169491525,1141.5,905.5,0.8752083333333334,0.07083333333333333,898.5,1.0296610169491525,4,19,10,0.12625,0.12625,0,0,0,False,False,False
