method,method_label,sweep_value,util_sum,weighted_success_sum,taskset_count,success_count,util_level_count,schedulable_ratio,weighted_schedulability
amc_rtb,AMC-rtb,0.65,3900.64466405447,1984.240592838987,7800,5453,39,0.6991025641025641,0.5086955525901444
amc_rtb,AMC-rtb,0.75,3900.6886251168717,1559.845002140197,7800,4824,39,0.6184615384615385,0.39988964822678236
amc_rtb,AMC-rtb,0.85,3900.609152748083,1227.9128326582172,7800,4289,39,0.5498717948717948,0.31480027466815536
amc_rtb,AMC-rtb,0.95,3900.611465937946,959.4972996851892,7800,3806,39,0.48794871794871797,0.24598638138250647
crmpo_baseline,CrMPO,0.05,3900.657428308773,2490.730311882702,7800,5759,39,0.7383333333333333,0.638541158166412
crmpo_baseline,CrMPO,0.15,3900.5964099178354,1221.9374221037683,7800,3492,39,0.44769230769230767,0.3132693808046416
crmpo_baseline,CrMPO,0.25,3900.614245631056,551.389320624132,7800,2071,39,0.2655128205128205,0.14135961310240414
crmpo_baseline,CrMPO,0.35,3900.616395335326,244.70719408882474,7800,1307,39,0.16756410256410256,0.06273551902757356
crmpo_baseline,CrMPO,0.45,3900.5319053659896,128.91007594410183,7800,934,39,0.11974358974358974,0.033049358157219356
crmpo_baseline,CrMPO,0.55,3900.6757465066307,77.57643710586898,7800,720,39,0.09230769230769231,0.019887948178041952
crmpo_baseline,CrMPO,0.65,3900.64466405447,69.07498021010802,7800,694,39,0.08897435897435897,0.017708606181602048
crmpo_baseline,CrMPO,0.75,3900.6886251168717,86.56829655205073,7800,751,39,0.09628205128205128,0.022193080471645435
crmpo_baseline,CrMPO,0.85,3900.609152748083,170.59680893864805,7800,1137,39,0.14576923076923076,0.04373594027447176
crmpo_baseline,CrMPO,0.95,3900.611465937946,462.21235700573806,7800,2211,39,0.2834615384615385,0.11849741022452588
smc,SMC,0.05,3900.657428308773,3436.97812076497,7800,7312,39,0.9374358974358974,0.8811279082908743
smc,SMC,0.15,3900.5964099178354,3326.5570423697113,7800,7186,39,0.9212820512820513,0.8528329241937092
smc,SMC,0.25,3900.614245631056,3136.035319073086,7800,6959,39,0.8921794871794871,0.8039849935393257
smc,SMC,0.35,3900.616395335326,2837.3037874411098,7800,6589,39,0.8447435897435898,0.7273988262045424
smc,SMC,0.45,3900.5319053659896,2495.6790412149617,7800,6152,39,0.7887179487179488,0.639830438966962
smc,SMC,0.55,3900.6757465066307,2047.548651052167,7800,5553,39,0.7119230769230769,0.5249215223505599
smc,SMC,0.65,3900.64466405447,1687.886631736497,7800,5028,39,0.6446153846153846,0.43271991609254845
smc,SMC,0.75,3900.6886251168717,1375.6831979897572,7800,4541,39,0.5821794871794872,0.35267700916489825
smc,SMC,0.85,3900.609152748083,1134.8165519055708,7800,4131,39,0.5296153846153846,0.29093316132585656
smc,SMC,0.95,3900.611465937946,939.6139544372488,7800,3768,39,0.48307692307692307,0.24088888694565433
smc_no,SMC-NO,0.05,3900.657428308773,3356.3004932311947,7800,7212,39,0.9246153846153846,0.8604448237040909
smc_no,SMC-NO,0.15,3900.5964099178354,3076.9686777741144,7800,6870,39,0.8807692307692307,0.7888456929177479
smc_no,SMC-NO,0.25,3900.614245631056,2706.4521219175076,7800,6407,39,0.8214102564102564,0.6938528015039969
smc_no,SMC-NO,0.35,3900.616395335326,2348.6035301483253,7800,5936,39,0.7610256410256411,0.6021108696966397
smc_no,SMC-NO,0.45,3900.5319053659896,1994.5531688554233,7800,5447,39,0.6983333333333334,0.5113541479077514
smc_no,SMC-NO,0.55,3900.6757465066307,1663.2690030358256,7800,4974,39,0.6376923076923077,0.4264053490027765
smc_no,SMC-NO,0.65,3900.64466405447,1415.639557105266,7800,4595,39,0.5891025641025641,0.36292451095347905
smc_no,SMC-NO,0.75,3900.6886251168717,1197.042598354561,7800,4235,39,0.5429487179487179,0.3068798136428271
smc_no,SMC-NO,0.85,3900.609152748083,1044.0826542304048,7800,3963,39,0.5080769230769231,0.2676716926367311
smc_no,SMC-NO,0.95,3900.611465937946,916.7620081507433,7800,3722,39,0.47717948717948716,0.23503033207904944
ub_hl,UB-H&L,0.05,3900.657428308773,3455.8797393611253,7800,7333,39,0.9401282051282052,0.8859736603066699
ub_hl,UB-H&L,0.15,3900.5964099178354,3442.7123670176725,7800,7319,39,0.9383333333333334,0.8826117868190808
ub_hl,UB-H&L,0.25,3900.614245631056,3415.963043324895,7800,7287,39,0.9342307692307692,0.8757500301781951
ub_hl,UB-H&L,0.35,3900.616395335326,3345.77843426094,7800,7201,39,0.9232051282051282,0.8577563377578203
ub_hl,UB-H&L,0.45,3900.5319053659896,3102.3897929527448,7800,6902,39,0.8848717948717949,0.7953760841399002
ub_hl,UB-H&L,0.55,3900.6757465066307,2680.9209661820314,7800,6374,39,0.8171794871794872,0.6872965456262321
ub_hl,UB-H&L,0.65,3900.64466405447,2182.5747097452954,7800,5705,39,0.7314102564102564,0.5595420495125667
ub_hl,UB-H&L,0.75,3900.6886251168717,1678.166685913096,7800,4986,39,0.6392307692307693,0.4302231854927449
ub_hl,UB-H&L,0.85,3900.609152748083,1279.1917964353302,7800,4369,39,0.5601282051282052,0.32794667354305557
ub_hl,UB-H&L,0.95,3900.611465937946,971.547396208656,7800,3827,39,0.49064102564102563,0.24907566536495232
