episode,episode_seed,taskset_seed,scenario_seed,network_seed,exploration_seed,replay_seed,total_util,num_tasks,taskset_fingerprint,steps,step_count,selected_action_count,total_reward,epsilon,loss_mean,loss_last,accepted_actions,rejected_actions,noop_actions,explicit_noop_actions,noop_action_rate,explicit_noop_action_rate,accepted_action_rate,rejected_action_rate,safety_checked_actions,selected_invalid_mask_actions,action_space_type,action_count,budget_increase_ratio,budget_decrease_ratio,budget_floor_ratio,valid_action_count_mean,masked_action_count_mean,masked_decrease_hi_forbidden_count,masked_decrease_hi_forbidden_rate,masked_budget_floor_violation_count,masked_budget_floor_violation_rate,no_safe_action_steps,selected_explicit_noop_actions,selected_explicit_noop_rate,mode_changes,lo_cancellations,deadline_misses,job_starts,lo_overruns,hi_overruns,reward_job_start_sum,reward_lo_overrun_sum,reward_hi_overrun_sum,reward_mode_change_sum,reward_lo_cancellation_sum,reward_deadline_miss_sum,reward_paper_sum,reward_noop_bonus_sum,reward_budget_change_penalty_sum,reward_budget_change_norm_sum,reward_budget_drift_penalty_sum,reward_budget_drift_mean_sum,noop_exploration_prob,exploration_action_count,exploration_noop_action_count,exploration_noop_action_rate,observation_mode,state_dim,feature_safety_margin_min_mean,feature_safety_margin_min_p05
22,22,409,100022,0,0,0,0.65,12,3951c3bae678,20,20,20,-11.025670606280293,0.8543333333333334,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.564102564102566,5.435897435897436,0,0.0,4,0.0041025641025641026,0,0,0.0,173,196,0,5045,196,173,0.0,-1.5534384912322747,-2.4100676246395736,-5.5087259991761695,-1.5534384912322747,0.0,0.0,0.0,0.0,0.7107731431392518,0.0,0.156259018659366,0.0,18,0,0.0,v11_full_10d,128,0.00125,0.0
23,23,409,100023,0,0,0,0.65,12,3951c3bae678,20,20,20,-15.336833110089685,0.848,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,21.153846153846153,3.8461538461538463,0,0.0,0,0.0,0,0,0.0,273,130,0,4798,130,273,0.0,-1.0792588318715008,-4.010791657583773,-9.167523788762912,-1.0792588318715008,0.0,0.0,0.0,0.0,0.616970151207861,0.0,0.11988669030180689,0.0,19,0,0.0,v11_full_10d,128,0.0008059316569954868,0.0
24,24,409,100024,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.765167862773792,0.8416666666666667,0.15595462918281555,0.15595462918281555,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.128205128205128,6.871794871794871,0,0.0,38,0.038974358974358976,0,0,0.0,235,158,0,4902,158,235,0.0,-1.2831971098298902,-3.4083224131216543,-7.790451229992353,-1.2831971098298902,0.0,0.0,0.0,0.0,0.6380795912631455,0.0,0.23157472790436878,0.0,20,0,0.0,v11_full_10d,128,0.0020349370025595738,0.0
25,25,409,100025,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.705858449817782,0.8353333333333334,0.16416729167103766,0.18131104111671448,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.384615384615383,6.615384615384615,0,0.0,34,0.03487179487179487,0,0,0.0,226,181,0,4907,181,226,0.0,-1.4819690674232944,-3.2692800958607977,-7.472640219110395,-1.4819690674232944,0.0,0.0,0.0,0.0,0.8014898522263422,0.0,0.3048127971177919,0.0,14,0,0.0,v11_full_10d,128,0.0019504783279332568,0.0
26,26,409,100026,0,0,0,0.65,12,3951c3bae678,20,20,20,-15.480154149144367,0.829,0.17071083560585976,0.17153549194335938,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.82051282051282,5.17948717948718,0,0.0,0,0.0,0,0,0.0,264,175,0,4839,175,264,0.0,-1.4473552168999058,-3.8303524351048654,-8.755091280239693,-1.4473552168999058,0.0,0.0,0.0,0.0,0.7246779950862853,0.0,0.11522973524652043,0.0,16,0,0.0,v11_full_10d,128,0.0,0.0
27,27,409,100027,0,0,0,0.65,12,3951c3bae678,20,20,20,-15.582171675468082,0.8226666666666667,0.15786302089691162,0.14406748116016388,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.76923076923077,5.230769230769231,0,0.0,32,0.03282051282051282,0,0,0.0,268,157,0,4814,157,268,0.0,-1.297060166813616,-3.952885190995041,-9.035166150845809,-1.297060166813616,0.0,0.0,0.0,0.0,0.5694780236980763,0.0,0.2616025897110128,0.0,18,0,0.0,v11_full_10d,128,0.0021256110525305714,0.0
28,28,409,100028,0,0,0,0.65,12,3951c3bae678,20,20,20,-11.412586709387838,0.8163333333333334,0.14017187803983688,0.13616076111793518,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.05128205128205,5.948717948717949,0,0.0,0,0.0,0,0,0.0,189,168,0,5001,168,189,0.0,-1.3427194503340272,-2.656088463523412,-6.071059345196371,-1.3427194503340272,0.0,0.0,0.0,0.0,0.7116086899119805,0.0,0.1681930001602401,0.0,17,0,0.0,v11_full_10d,128,0.0014155445598820037,0.0
29,29,409,100029,0,0,0,0.65,12,3951c3bae678,20,20,20,-12.177601651382336,0.81,0.12701812610030175,0.11540232598781586,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.846153846153847,4.153846153846154,0,0.0,2,0.0020512820512820513,0,0,0.0,201,179,0,4983,179,201,0.0,-1.436736763883513,-2.8316911680568335,-6.472436955558476,-1.436736763883513,0.0,0.0,0.0,0.0,0.6907546519808547,0.0,0.19399409096601933,0.0,16,0,0.0,v11_full_10d,128,0.0029592198581560275,0.0
30,30,409,100030,0,0,0,0.65,12,3951c3bae678,20,20,20,-14.537644394465373,0.8036666666666666,0.10567905716598033,0.08496296405792236,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.71794871794872,5.282051282051282,0,0.0,0,0.0,0,0,0.0,249,169,0,4895,169,249,0.0,-1.3746458237410326,-3.5877595316905713,-8.200593215292736,-1.3746458237410326,0.0,0.0,0.0,0.0,0.5597288366576473,0.0,0.129383598272956,0.0,18,0,0.0,v11_full_10d,128,0.0,0.0
31,31,409,100031,0,0,0,0.65,12,3951c3bae678,20,20,20,-16.064586886393286,0.7973333333333333,0.09736442938446999,0.11644406616687775,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.358974358974358,5.641025641025641,0,0.0,0,0.0,0,0,0.0,281,153,0,4826,153,281,0.0,-1.2650625725180695,-4.119184008239132,-9.415277733118014,-1.2650625725180695,0.0,0.0,0.0,0.0,0.6223816164308835,0.0,0.1422874465327954,0.0,13,0,0.0,v11_full_10d,128,0.002367467727945303,0.0
32,32,409,100032,0,0,0,0.65,12,3951c3bae678,20,20,20,-15.004990386149348,0.791,0.08692316561937333,0.07955507934093475,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.487179487179485,6.512820512820513,0,0.0,0,0.0,0,0,0.0,253,183,0,4882,183,253,0.0,-1.4932244403031047,-3.6578169799479117,-8.360724525595227,-1.4932244403031047,0.0,0.0,0.0,0.0,0.6483580059804216,0.0,0.1221551984882991,0.0,16,0,0.0,v11_full_10d,128,6.447453255963895e-05,0.0
33,33,409,100033,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.034628743029584,0.7846666666666666,0.08608063720166684,0.08706426620483398,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.871794871794872,5.128205128205129,0,0.0,8,0.008205128205128205,0,0,0.0,215,183,0,4948,183,215,0.0,-1.4827529465698497,-3.0645156499664865,-7.004607199923398,-1.4827529465698497,0.0,0.0,0.0,0.0,0.5285035271032616,0.0,0.22149338125523724,0.0,17,0,0.0,v11_full_10d,128,0.002401286998881818,0.0
34,34,409,100034,0,0,0,0.65,12,3951c3bae678,24,20,20,-10.369559927035503,0.7783333333333333,0.0758858386427164,0.06225026398897171,20,0,4,4,0.2,0.2,1.0,0.0,16,0,single,25,0.025,0.015,0.9,18.743589743589745,6.256410256410256,0,0.0,14,0.014358974358974359,0,4,0.10256410256410256,171,158,0,5033,158,171,0.0,-1.2545511933383795,-2.3923131644570095,-5.468144375901734,-1.2545511933383795,0.0,0.0,0.0,0.0,0.7739409210398374,0.0,0.12047890877535247,0.0,15,0,0.0,v11_full_10d,128,0.0,0.0
35,35,409,100035,0,0,0,0.65,12,3951c3bae678,24,20,20,-15.807665913788476,0.772,0.06370402909815312,0.06515266001224518,20,0,4,4,0.2,0.2,1.0,0.0,16,0,single,25,0.025,0.015,0.9,18.94871794871795,6.051282051282051,0,0.0,0,0.0,0,4,0.10256410256410256,277,150,0,4819,150,277,0.0,-1.2436949821174603,-4.0539970281249955,-9.266278921428562,-1.2436949821174603,0.0,0.0,0.0,0.0,0.39013561209103054,0.0,0.09114734968727228,0.0,15,0,0.0,v11_full_10d,128,0.0002508361204013378,0.0
36,36,409,100036,0,0,0,0.65,12,3951c3bae678,26,20,20,-11.068427093511145,0.7656666666666667,0.050311371125280856,0.05361991375684738,20,0,6,6,0.3,0.3,1.0,0.0,14,0,single,25,0.025,0.015,0.9,20.58974358974359,4.410256410256411,0,0.0,0,0.0,0,6,0.15384615384615385,175,188,0,5023,188,175,0.0,-1.4958992357213734,-2.4581043632382085,-5.618524258830191,-1.4958992357213734,0.0,0.0,0.0,0.0,0.3239602966438938,0.0,0.15101892046697066,0.0,14,0,0.0,v11_full_10d,128,0.0,0.0
37,37,409,100037,0,0,0,0.65,12,3951c3bae678,22,20,20,-12.02207338159021,0.7593333333333333,0.05469059869647026,0.062314435839653015,20,0,2,2,0.1,0.1,1.0,0.0,18,0,single,25,0.025,0.015,0.9,18.487179487179485,6.512820512820513,0,0.0,62,0.06358974358974359,0,2,0.05128205128205128,175,251,0,5042,251,175,0.0,-1.9935261871427588,-2.4454411761362107,-5.589579831168481,-1.9935261871427588,0.0,0.0,0.0,0.0,0.5682388635721846,0.0,0.30815743288548647,0.0,18,0,0.0,v11_full_10d,128,0.0,0.0
