figure,sweep_type,sweep_value,util_level,taskset_id,seed,num_tasks,cf,cp,actual_total_util_lo,actual_total_util_hi,deadline_mode,method,method_label,priority_policy,schedulable,details
fig1,util,0.025,0.025,9,2035,20,2.0,0.5,0.025887318379948746,0.019716383104043635,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,9,2035,20,2.0,0.5,0.025887318379948746,0.019716383104043635,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,9,2035,20,2.0,0.5,0.025887318379948746,0.019716383104043635,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,9,2035,20,2.0,0.5,0.025887318379948746,0.019716383104043635,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,9,2035,20,2.0,0.5,0.025887318379948746,0.019716383104043635,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,10,2036,20,2.0,0.5,0.026069956611198594,0.02253772251168828,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,10,2036,20,2.0,0.5,0.026069956611198594,0.02253772251168828,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,10,2036,20,2.0,0.5,0.026069956611198594,0.02253772251168828,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,10,2036,20,2.0,0.5,0.026069956611198594,0.02253772251168828,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,10,2036,20,2.0,0.5,0.026069956611198594,0.02253772251168828,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,10,2036,20,2.0,0.5,0.026069956611198594,0.02253772251168828,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,11,2037,20,2.0,0.5,0.026245449654845557,0.015170010086396983,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,11,2037,20,2.0,0.5,0.026245449654845557,0.015170010086396983,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,11,2037,20,2.0,0.5,0.026245449654845557,0.015170010086396983,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,11,2037,20,2.0,0.5,0.026245449654845557,0.015170010086396983,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,11,2037,20,2.0,0.5,0.026245449654845557,0.015170010086396983,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,11,2037,20,2.0,0.5,0.026245449654845557,0.015170010086396983,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,12,2038,20,2.0,0.5,0.026221803457839213,0.02434840577217441,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,12,2038,20,2.0,0.5,0.026221803457839213,0.02434840577217441,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,12,2038,20,2.0,0.5,0.026221803457839213,0.02434840577217441,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,12,2038,20,2.0,0.5,0.026221803457839213,0.02434840577217441,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
