method,method_label,sweep_value,util_sum,weighted_success_sum,taskset_count,success_count,schedulable_ratio,weighted_schedulability_at_util
amc_max,AMC-max,0.75,150.00924804756977,98.26010634240423,200,131,0.655,0.6550269908108916
amc_max,AMC-max,0.775,155.00944775861782,96.8799613527455,200,125,0.625,0.6249939132975164
amc_max,AMC-max,0.8,160.00124992385213,95.99800591014865,200,120,0.6,0.5999828498579609
amc_max,AMC-max,0.825,164.9985259980524,96.52410996381131,200,117,0.585,0.5849998318466836
amc_max,AMC-max,0.85,170.00168160905397,90.10480254932557,200,106,0.53,0.5300230073990442
amc_max,AMC-max,0.875,175.0039257423276,70.87393328493374,200,81,0.405,0.40498481953648946
amc_max,AMC-max,0.9,180.0049038419778,55.800362017940685,200,62,0.31,0.3099935658804415
amc_max,AMC-max,0.925,184.99039682769057,34.22314882265382,200,37,0.185,0.18499959678734562
amc_max,AMC-max,0.95,189.99711284686487,12.348082752776014,200,13,0.065,0.06499089679709187
amc_max,AMC-max,0.975,194.99950233649201,0.0,200,0,0.0,0.0
amc_rtb,AMC-rtb,0.025,5.150775154323688,5.150775154323688,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.05,10.07037540116691,10.07037540116691,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.075,15.04338597200767,15.04338597200767,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.1,20.04086849950145,20.04086849950145,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.125,25.019060320954665,25.019060320954665,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.15,30.02093437157964,30.02093437157964,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.175,35.030499093877054,35.030499093877054,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.2,40.017940836065975,40.017940836065975,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.225,45.02222291398512,45.02222291398512,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.25,50.018001547393595,50.018001547393595,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.275,55.01108189543884,55.01108189543884,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.3,60.010768758605025,60.010768758605025,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.325,65.02006878252787,65.02006878252787,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.35,70.01846390244035,70.01846390244035,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.375,75.01202198861318,75.01202198861318,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.4,80.01557548408874,80.01557548408874,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.425,85.00734050756178,85.00734050756178,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.45,90.02562646434282,90.02562646434282,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.475,95.00959003446926,95.00959003446926,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.5,100.00809674930755,100.00809674930755,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.525,105.01305593469255,103.96138599592649,200,198,0.99,0.9899853410663519
amc_rtb,AMC-rtb,0.55,110.00952575674204,108.35943521340234,200,197,0.985,0.9850004758043548
amc_rtb,AMC-rtb,0.575,115.00732285612823,110.98081821398728,200,193,0.965,0.9649891455418189
amc_rtb,AMC-rtb,0.6,120.01312837631649,114.61392522132974,200,191,0.955,0.9550115622512826
amc_rtb,AMC-rtb,0.625,125.01215125578443,118.1363822636041,200,189,0.945,0.9449991946933864
amc_rtb,AMC-rtb,0.65,130.00715917367782,115.0560161676478,200,177,0.885,0.8849975408965236
amc_rtb,AMC-rtb,0.675,135.00066168769658,118.12486930147865,200,175,0.875,0.8749947431720188
amc_rtb,AMC-rtb,0.7,140.00390749043603,109.20512761716499,200,156,0.78,0.780014855118419
amc_rtb,AMC-rtb,0.725,145.00328619005472,107.30555465871676,200,148,0.74,0.7400215366020889
amc_rtb,AMC-rtb,0.75,150.00924804756977,95.26055328379302,200,127,0.635,0.6350312032334482
amc_rtb,AMC-rtb,0.775,155.00944775861782,93.77852423924595,200,121,0.605,0.6049858611539521
amc_rtb,AMC-rtb,0.8,160.00124992385213,90.39794390002731,200,113,0.565,0.5649827357164369
amc_rtb,AMC-rtb,0.825,164.9985259980524,87.45018004619257,200,106,0.53,0.5300058259140134
amc_rtb,AMC-rtb,0.85,170.00168160905397,82.45435913275496,200,97,0.485,0.48502084421948205
amc_rtb,AMC-rtb,0.875,175.0039257423276,57.74933522918735,200,66,0.33,0.3299887987325288
amc_rtb,AMC-rtb,0.9,180.0049038419778,46.799461279507106,200,52,0.26,0.2599899240555762
amc_rtb,AMC-rtb,0.925,184.99039682769057,21.272427565553123,200,23,0.115,0.11499206407653333
amc_rtb,AMC-rtb,0.95,189.99711284686487,10.448657720297485,200,11,0.055,0.05499377103018909
amc_rtb,AMC-rtb,0.975,194.99950233649201,0.0,200,0,0.0,0.0
crmpo_baseline,CrMPO,0.025,5.150775154323688,5.046882144592348,200,196,0.98,0.9798296360026257
crmpo_baseline,CrMPO,0.05,10.07037540116691,7.447266280261949,200,148,0.74,0.7395222108005023
crmpo_baseline,CrMPO,0.075,15.04338597200767,7.52086629878753,200,100,0.5,0.49994504646641097
crmpo_baseline,CrMPO,0.1,20.04086849950145,7.813504249485353,200,78,0.39,0.3898785249591218
crmpo_baseline,CrMPO,0.125,25.019060320954665,7.37894748972927,200,59,0.295,0.2949330388539432
crmpo_baseline,CrMPO,0.15,30.02093437157964,6.1579365245306015,200,41,0.205,0.2051214145539796
crmpo_baseline,CrMPO,0.175,35.030499093877054,6.305827843032243,200,36,0.18,0.18000964891003887
crmpo_baseline,CrMPO,0.2,40.017940836065975,4.199155688037745,200,21,0.105,0.10493182808280022
crmpo_baseline,CrMPO,0.225,45.02222291398512,6.979348786431218,200,31,0.155,0.1550200841874301
crmpo_baseline,CrMPO,0.25,50.018001547393595,4.499271842534396,200,18,0.09,0.08995305096848377
crmpo_baseline,CrMPO,0.275,55.01108189543884,3.5769179056462588,200,13,0.065,0.06502176983984809
crmpo_baseline,CrMPO,0.3,60.010768758605025,2.401802749183212,200,8,0.04,0.04002286254396323
crmpo_baseline,CrMPO,0.325,65.02006878252787,2.599387113324661,200,8,0.04,0.0399782276764242
crmpo_baseline,CrMPO,0.35,70.01846390244035,1.4003384966974721,200,4,0.02,0.01999956038236746
crmpo_baseline,CrMPO,0.375,75.01202198861318,2.251129249142827,200,6,0.03,0.030010246217393635
crmpo_baseline,CrMPO,0.4,80.01557548408874,2.4018484646009814,200,6,0.03,0.03001726164024895
crmpo_baseline,CrMPO,0.425,85.00734050756178,1.7014306977495084,200,4,0.02,0.020015103255678946
crmpo_baseline,CrMPO,0.45,90.02562646434282,1.800510830214241,200,4,0.02,0.01999998112678931
crmpo_baseline,CrMPO,0.475,95.00959003446926,0.9508249147516485,200,2,0.01,0.010007673061284566
crmpo_baseline,CrMPO,0.5,100.00809674930755,1.499774845708492,200,3,0.015,0.014996534225303877
crmpo_baseline,CrMPO,0.525,105.01305593469255,1.5753404664563204,200,3,0.015,0.015001377232903517
crmpo_baseline,CrMPO,0.55,110.00952575674204,1.100290776875426,200,2,0.01,0.010001777294344837
crmpo_baseline,CrMPO,0.575,115.00732285612823,1.7252384324974415,200,3,0.015,0.015001118099720302
crmpo_baseline,CrMPO,0.6,120.01312837631649,0.6001990552684269,200,1,0.005,0.005001111656604985
crmpo_baseline,CrMPO,0.625,125.01215125578443,0.6252246142159456,200,1,0.005,0.005001310736079472
crmpo_baseline,CrMPO,0.65,130.00715917367782,1.299475575221396,200,2,0.01,0.009995415510044443
crmpo_baseline,CrMPO,0.675,135.00066168769658,0.675221032751635,200,1,0.005,0.005001612764785226
crmpo_baseline,CrMPO,0.7,140.00390749043603,0.0,200,0,0.0,0.0
crmpo_baseline,CrMPO,0.725,145.00328619005472,0.0,200,0,0.0,0.0
crmpo_baseline,CrMPO,0.75,150.00924804756977,0.7508277697394123,200,1,0.005,0.005005209875469249
crmpo_baseline,CrMPO,0.775,155.00944775861782,0.0,200,0,0.0,0.0
crmpo_baseline,CrMPO,0.8,160.00124992385213,0.8003838004883695,200,1,0.005,0.005002359674498097
crmpo_baseline,CrMPO,0.825,164.9985259980524,0.0,200,0,0.0,0.0
crmpo_baseline,CrMPO,0.85,170.00168160905397,0.0,200,0,0.0,0.0
crmpo_baseline,CrMPO,0.875,175.0039257423276,0.0,200,0,0.0,0.0
crmpo_baseline,CrMPO,0.9,180.0049038419778,0.0,200,0,0.0,0.0
crmpo_baseline,CrMPO,0.925,184.99039682769057,0.0,200,0,0.0,0.0
crmpo_baseline,CrMPO,0.95,189.99711284686487,0.0,200,0,0.0,0.0
crmpo_baseline,CrMPO,0.975,194.99950233649201,0.0,200,0,0.0,0.0
smc,SMC,0.025,5.150775154323688,5.150775154323688,200,200,1.0,1.0
smc,SMC,0.05,10.07037540116691,10.07037540116691,200,200,1.0,1.0
smc,SMC,0.075,15.04338597200767,15.04338597200767,200,200,1.0,1.0
smc,SMC,0.1,20.04086849950145,20.04086849950145,200,200,1.0,1.0
smc,SMC,0.125,25.019060320954665,25.019060320954665,200,200,1.0,1.0
smc,SMC,0.15,30.02093437157964,30.02093437157964,200,200,1.0,1.0
smc,SMC,0.175,35.030499093877054,35.030499093877054,200,200,1.0,1.0
smc,SMC,0.2,40.017940836065975,40.017940836065975,200,200,1.0,1.0
smc,SMC,0.225,45.02222291398512,45.02222291398512,200,200,1.0,1.0
smc,SMC,0.25,50.018001547393595,50.018001547393595,200,200,1.0,1.0
smc,SMC,0.275,55.01108189543884,55.01108189543884,200,200,1.0,1.0
smc,SMC,0.3,60.010768758605025,60.010768758605025,200,200,1.0,1.0
smc,SMC,0.325,65.02006878252787,65.02006878252787,200,200,1.0,1.0
smc,SMC,0.35,70.01846390244035,70.01846390244035,200,200,1.0,1.0
smc,SMC,0.375,75.01202198861318,75.01202198861318,200,200,1.0,1.0
smc,SMC,0.4,80.01557548408874,80.01557548408874,200,200,1.0,1.0
smc,SMC,0.425,85.00734050756178,85.00734050756178,200,200,1.0,1.0
smc,SMC,0.45,90.02562646434282,90.02562646434282,200,200,1.0,1.0
smc,SMC,0.475,95.00959003446926,95.00959003446926,200,200,1.0,1.0
smc,SMC,0.5,100.00809674930755,99.50838615848868,200,199,0.995,0.9950032986621922
smc,SMC,0.525,105.01305593469255,101.86113121869971,200,194,0.97,0.9699854014537677
smc,SMC,0.55,110.00952575674204,107.25892651235905,200,195,0.975,0.9749967175527579
smc,SMC,0.575,115.00732285612823,106.95423535241139,200,186,0.93,0.9299776109579467
smc,SMC,0.6,120.01312837631649,108.61603134732262,200,181,0.905,0.905034580939705
smc,SMC,0.625,125.01215125578443,101.26048419847538,200,162,0.81,0.8100051329513455
smc,SMC,0.65,130.00715917367782,95.55186749770536,200,147,0.735,0.7349738899382972
smc,SMC,0.675,135.00066168769658,95.17646676772425,200,141,0.705,0.7050074094295958
smc,SMC,0.7,140.00390749043603,78.40368139746406,200,112,0.56,0.5600106654367485
smc,SMC,0.725,145.00328619005472,81.92826653452786,200,113,0.565,0.5650097227944552
smc,SMC,0.75,150.00924804756977,66.75644212732196,200,89,0.445,0.44501551068473244
smc,SMC,0.775,155.00944775861782,67.42657923120449,200,87,0.435,0.43498367490607276
smc,SMC,0.8,160.00124992385213,47.999370186041446,200,60,0.3,0.299993720104595
smc,SMC,0.825,164.9985259980524,52.80053204093328,200,64,0.32,0.320006083215292
smc,SMC,0.85,170.00168160905397,51.85369960879019,200,61,0.305,0.3050187452147447
smc,SMC,0.875,175.0039257423276,32.37643838117353,200,37,0.185,0.1850040691592483
smc,SMC,0.9,180.0049038419778,21.60254576894093,200,24,0.12,0.12001087363656111
smc,SMC,0.925,184.99039682769057,6.473415031470602,200,7,0.035,0.03499324906849229
smc,SMC,0.95,189.99711284686487,2.8507760166446503,200,3,0.015,0.015004312296799676
smc,SMC,0.975,194.99950233649201,0.0,200,0,0.0,0.0
smc_no,SMC-NO,0.025,5.150775154323688,5.150775154323688,200,200,1.0,1.0
smc_no,SMC-NO,0.05,10.07037540116691,10.07037540116691,200,200,1.0,1.0
smc_no,SMC-NO,0.075,15.04338597200767,15.04338597200767,200,200,1.0,1.0
smc_no,SMC-NO,0.1,20.04086849950145,20.04086849950145,200,200,1.0,1.0
smc_no,SMC-NO,0.125,25.019060320954665,25.019060320954665,200,200,1.0,1.0
smc_no,SMC-NO,0.15,30.02093437157964,30.02093437157964,200,200,1.0,1.0
smc_no,SMC-NO,0.175,35.030499093877054,35.030499093877054,200,200,1.0,1.0
smc_no,SMC-NO,0.2,40.017940836065975,40.017940836065975,200,200,1.0,1.0
smc_no,SMC-NO,0.225,45.02222291398512,45.02222291398512,200,200,1.0,1.0
smc_no,SMC-NO,0.25,50.018001547393595,50.018001547393595,200,200,1.0,1.0
smc_no,SMC-NO,0.275,55.01108189543884,55.01108189543884,200,200,1.0,1.0
smc_no,SMC-NO,0.3,60.010768758605025,60.010768758605025,200,200,1.0,1.0
smc_no,SMC-NO,0.325,65.02006878252787,65.02006878252787,200,200,1.0,1.0
smc_no,SMC-NO,0.35,70.01846390244035,70.01846390244035,200,200,1.0,1.0
smc_no,SMC-NO,0.375,75.01202198861318,75.01202198861318,200,200,1.0,1.0
smc_no,SMC-NO,0.4,80.01557548408874,80.01557548408874,200,200,1.0,1.0
smc_no,SMC-NO,0.425,85.00734050756178,85.00734050756178,200,200,1.0,1.0
smc_no,SMC-NO,0.45,90.02562646434282,90.02562646434282,200,200,1.0,1.0
smc_no,SMC-NO,0.475,95.00959003446926,94.05997347696172,200,198,0.99,0.9900050452047733
smc_no,SMC-NO,0.5,100.00809674930755,93.01097607871014,200,186,0.93,0.9300344582285448
smc_no,SMC-NO,0.525,105.01305593469255,92.4091703214091,200,176,0.88,0.879977917973154
smc_no,SMC-NO,0.55,110.00952575674204,87.45684194646297,200,159,0.795,0.794993354846847
smc_no,SMC-NO,0.575,115.00732285612823,78.77317278316264,200,137,0.685,0.68494049619524
smc_no,SMC-NO,0.6,120.01312837631649,78.60932875513369,200,131,0.655,0.6550060799068924
smc_no,SMC-NO,0.625,125.01215125578443,61.25575904410366,200,98,0.49,0.48999843958184264
smc_no,SMC-NO,0.65,130.00715917367782,56.55683390896998,200,87,0.435,0.43502861125836273
smc_no,SMC-NO,0.675,135.00066168769658,47.92806092577462,200,71,0.355,0.3550209334280811
smc_no,SMC-NO,0.7,140.00390749043603,44.100799695296026,200,63,0.315,0.3149969203417315
smc_no,SMC-NO,0.725,145.00328619005472,41.32566227664119,200,57,0.285,0.2849981084047706
smc_no,SMC-NO,0.75,150.00924804756977,37.50201604208854,200,50,0.25,0.2499980269896173
smc_no,SMC-NO,0.775,155.00944775861782,29.449052010068737,200,38,0.19,0.18998230389109624
smc_no,SMC-NO,0.8,160.00124992385213,27.200460041695955,200,34,0.17,0.17000154720442004
smc_no,SMC-NO,0.825,164.9985259980524,32.174258191985956,200,39,0.195,0.1949972461715551
smc_no,SMC-NO,0.85,170.00168160905397,24.652619895437034,200,29,0.145,0.1450139766977698
smc_no,SMC-NO,0.875,175.0039257423276,15.750534722321175,200,18,0.09,0.09000103657967055
smc_no,SMC-NO,0.9,180.0049038419778,12.602609359733533,200,14,0.07,0.0700125890503354
smc_no,SMC-NO,0.925,184.99039682769057,3.6984425929578015,200,4,0.02,0.01999261938122506
smc_no,SMC-NO,0.95,189.99711284686487,0.9497658617309082,200,1,0.005,0.004998843653463338
smc_no,SMC-NO,0.975,194.99950233649201,0.0,200,0,0.0,0.0
ub_hl,UB-H&L,0.025,5.150775154323688,5.150775154323688,200,200,1.0,1.0
ub_hl,UB-H&L,0.05,10.07037540116691,10.07037540116691,200,200,1.0,1.0
ub_hl,UB-H&L,0.075,15.04338597200767,15.04338597200767,200,200,1.0,1.0
ub_hl,UB-H&L,0.1,20.04086849950145,20.04086849950145,200,200,1.0,1.0
ub_hl,UB-H&L,0.125,25.019060320954665,25.019060320954665,200,200,1.0,1.0
ub_hl,UB-H&L,0.15,30.02093437157964,30.02093437157964,200,200,1.0,1.0
ub_hl,UB-H&L,0.175,35.030499093877054,35.030499093877054,200,200,1.0,1.0
ub_hl,UB-H&L,0.2,40.017940836065975,40.017940836065975,200,200,1.0,1.0
ub_hl,UB-H&L,0.225,45.02222291398512,45.02222291398512,200,200,1.0,1.0
ub_hl,UB-H&L,0.25,50.018001547393595,50.018001547393595,200,200,1.0,1.0
ub_hl,UB-H&L,0.275,55.01108189543884,55.01108189543884,200,200,1.0,1.0
ub_hl,UB-H&L,0.3,60.010768758605025,60.010768758605025,200,200,1.0,1.0
ub_hl,UB-H&L,0.325,65.02006878252787,65.02006878252787,200,200,1.0,1.0
ub_hl,UB-H&L,0.35,70.01846390244035,70.01846390244035,200,200,1.0,1.0
ub_hl,UB-H&L,0.375,75.01202198861318,75.01202198861318,200,200,1.0,1.0
ub_hl,UB-H&L,0.4,80.01557548408874,80.01557548408874,200,200,1.0,1.0
ub_hl,UB-H&L,0.425,85.00734050756178,85.00734050756178,200,200,1.0,1.0
ub_hl,UB-H&L,0.45,90.02562646434282,90.02562646434282,200,200,1.0,1.0
ub_hl,UB-H&L,0.475,95.00959003446926,95.00959003446926,200,200,1.0,1.0
ub_hl,UB-H&L,0.5,100.00809674930755,100.00809674930755,200,200,1.0,1.0
ub_hl,UB-H&L,0.525,105.01305593469255,103.96138599592649,200,198,0.99,0.9899853410663519
ub_hl,UB-H&L,0.55,110.00952575674204,108.90880614532776,200,198,0.99,0.9899943245474193
ub_hl,UB-H&L,0.575,115.00732285612823,113.28195641056854,200,197,0.985,0.9849977688140947
ub_hl,UB-H&L,0.6,120.01312837631649,117.61314904215007,200,196,0.98,0.9800023600198057
ub_hl,UB-H&L,0.625,125.01215125578443,119.38574606132802,200,191,0.955,0.9549931335639177
ub_hl,UB-H&L,0.65,130.00715917367782,120.25577735242642,200,185,0.925,0.9249935012561544
ub_hl,UB-H&L,0.675,135.00066168769658,120.1514256583384,200,178,0.89,0.8900061981643496
ub_hl,UB-H&L,0.7,140.00390749043603,116.90409197795721,200,167,0.835,0.8350059228592829
ub_hl,UB-H&L,0.725,145.00328619005472,116.00676299228863,200,160,0.8,0.8000285099762459
ub_hl,UB-H&L,0.75,150.00924804756977,108.75861469867237,200,145,0.725,0.725012731642943
ub_hl,UB-H&L,0.775,155.00944775861782,110.05290082483279,200,142,0.71,0.7099754396661564
ub_hl,UB-H&L,0.8,160.00124992385213,107.19867654683658,200,134,0.67,0.6699864944671033
ub_hl,UB-H&L,0.825,164.9985259980524,108.07401401863117,200,131,0.655,0.6549998756952947
ub_hl,UB-H&L,0.85,170.00168160905397,110.50219455341133,200,130,0.65,0.6500064793919438
ub_hl,UB-H&L,0.875,175.0039257423276,97.12485229463483,200,111,0.555,0.5549867060561807
ub_hl,UB-H&L,0.9,180.0049038419778,88.20182303805755,200,98,0.49,0.48999677872936126
ub_hl,UB-H&L,0.925,184.99039682769057,57.349296235899224,200,62,0.31,0.3100122883098481
ub_hl,UB-H&L,0.95,189.99711284686487,24.69954783107057,200,26,0.13,0.12999959557795004
ub_hl,UB-H&L,0.975,194.99950233649201,0.0,200,0,0.0,0.0
