episode,episode_seed,taskset_seed,scenario_seed,network_seed,exploration_seed,replay_seed,total_util,num_tasks,taskset_fingerprint,steps,step_count,selected_action_count,total_reward,epsilon,loss_mean,loss_last,accepted_actions,rejected_actions,noop_actions,explicit_noop_actions,noop_action_rate,explicit_noop_action_rate,accepted_action_rate,rejected_action_rate,safety_checked_actions,selected_invalid_mask_actions,action_space_type,action_count,budget_increase_ratio,budget_decrease_ratio,budget_floor_ratio,valid_action_count_mean,masked_action_count_mean,masked_decrease_hi_forbidden_count,masked_decrease_hi_forbidden_rate,masked_budget_floor_violation_count,masked_budget_floor_violation_rate,no_safe_action_steps,selected_explicit_noop_actions,selected_explicit_noop_rate,mode_changes,lo_cancellations,deadline_misses,job_starts,lo_overruns,hi_overruns,reward_job_start_sum,reward_lo_overrun_sum,reward_hi_overrun_sum,reward_mode_change_sum,reward_lo_cancellation_sum,reward_deadline_miss_sum,reward_paper_sum,reward_noop_bonus_sum,reward_budget_change_penalty_sum,reward_budget_change_norm_sum,reward_budget_drift_penalty_sum,reward_budget_drift_mean_sum,noop_exploration_prob,exploration_action_count,exploration_noop_action_count,exploration_noop_action_rate,observation_mode,state_dim,feature_safety_margin_min_mean,feature_safety_margin_min_p05
20,20,409,100020,0,0,0,0.65,12,3951c3bae678,20,20,20,-11.5353194491894,0.9202,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.076923076923077,4.923076923076923,0,0.0,0,0.0,0,0,0.0,190,170,0,4994,170,190,0.0,-1.3590304387419871,-2.683513478345129,-6.133745093360295,-1.3590304387419871,0.0,0.0,0.0,0.0,0.7567653667018919,0.0,0.16377929651954984,0.0,20,0,0.0,v11_no_util_9d,116,0.001975660863958736,0.0
21,21,409,100021,0,0,0,0.65,12,3951c3bae678,20,20,20,-17.753448890968304,0.9164,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,22.17948717948718,2.8205128205128207,0,0.0,18,0.018461538461538463,0,0,0.0,309,157,0,4741,157,309,0.0,-1.3170194236055672,-4.60155957853479,-10.517850465222377,-1.3170194236055672,0.0,0.0,0.0,0.0,0.6145898855936701,0.0,0.252251593348008,0.0,18,0,0.0,v11_no_util_9d,116,0.0,0.0
22,22,409,100022,0,0,0,0.65,12,3951c3bae678,20,20,20,-11.928214027632823,0.9126,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.846153846153847,6.153846153846154,0,0.0,38,0.038974358974358976,0,0,0.0,186,208,0,5005,208,186,0.0,-1.657565710666491,-2.6213729671347337,-5.991709639165105,-1.657565710666491,0.0,0.0,0.0,0.0,0.5838556759052557,0.0,0.30400625355309185,0.0,20,0,0.0,v11_no_util_9d,116,0.0,0.0
23,23,409,100023,0,0,0,0.65,12,3951c3bae678,20,20,20,-15.167635909074171,0.9088,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.897435897435898,4.102564102564102,0,0.0,0,0.0,0,0,0.0,271,127,0,4804,127,271,0.0,-1.0520940147502487,-3.9758319633485097,-9.087615916225165,-1.0520940147502487,0.0,0.0,0.0,0.0,0.5321202354187188,0.0,0.11480549157419936,0.0,20,0,0.0,v11_no_util_9d,116,0.0007092198581560283,0.0
24,24,409,100024,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.765167862773792,0.905,0.18361401557922363,0.18361401557922363,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.128205128205128,6.871794871794871,0,0.0,38,0.038974358974358976,0,0,0.0,235,158,0,4902,158,235,0.0,-1.2831971098298902,-3.4083224131216543,-7.790451229992353,-1.2831971098298902,0.0,0.0,0.0,0.0,0.6380795912631455,0.0,0.23157472790436878,0.0,20,0,0.0,v11_no_util_9d,116,0.0020349370025595738,0.0
25,25,409,100025,0,0,0,0.65,12,3951c3bae678,20,20,20,-11.28994630776127,0.9012,0.1923568457365036,0.19141067564487457,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.28205128205128,4.717948717948718,0,0.0,4,0.0041025641025641026,0,0,0.0,186,166,0,4989,166,186,0.0,-1.3319667792558099,-2.625308228032502,-6.000704521217148,-1.3319667792558099,0.0,0.0,0.0,0.0,0.7249948201869664,0.0,0.18843859732715007,0.0,19,0,0.0,v11_no_util_9d,116,0.001974830219727364,0.0
26,26,409,100026,0,0,0,0.65,12,3951c3bae678,20,20,20,-11.910662437160024,0.8974,0.1911064624786377,0.20354926586151123,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.46153846153846,5.538461538461538,0,0.0,30,0.03076923076923077,0,0,0.0,188,203,0,5008,203,188,0.0,-1.6215342536212494,-2.637963369974899,-6.029630559942626,-1.6215342536212494,0.0,0.0,0.0,0.0,0.6723474965662539,0.0,0.2837054434740191,0.0,18,0,0.0,v11_no_util_9d,116,0.0,0.0
27,27,409,100027,0,0,0,0.65,12,3951c3bae678,20,20,20,-14.535687683609426,0.8936,0.18738703951239585,0.18713313341140747,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.871794871794872,5.128205128205129,0,0.0,0,0.0,0,0,0.0,249,160,0,4856,160,249,0.0,-1.3123024083187533,-3.625112176904498,-8.285970690067424,-1.3123024083187533,0.0,0.0,0.0,0.0,0.474060138018902,0.0,0.10832116706694515,0.0,18,0,0.0,v11_no_util_9d,116,0.0,0.0
28,28,409,100028,0,0,0,0.65,12,3951c3bae678,20,20,20,-11.678404506381801,0.8898,0.1831430248916149,0.18089111149311066,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.23076923076923,4.769230769230769,0,0.0,0,0.0,0,0,0.0,195,167,0,4999,167,195,0.0,-1.335549449150888,-2.7413538807200077,-6.26595172736002,-1.335549449150888,0.0,0.0,0.0,0.0,0.48385414104011737,0.0,0.14692623230052312,0.0,18,0,0.0,v11_no_util_9d,116,0.0011062716557894883,0.0
29,29,409,100029,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.017029692802634,0.886,0.16940488219261168,0.1887187510728836,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,22.076923076923077,2.923076923076923,0,0.0,0,0.0,0,0,0.0,219,173,0,4955,173,219,0.0,-1.3963385259422485,-3.1117594994098674,-7.11259314150827,-1.3963385259422485,0.0,0.0,0.0,0.0,0.7022896362207525,0.0,0.1495283610371877,0.0,16,0,0.0,v11_no_util_9d,116,0.0021611863313990972,0.0
30,30,409,100030,0,0,0,0.65,12,3951c3bae678,20,20,20,-14.539390659848452,0.8822,0.1348595939576626,0.11451984941959381,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.384615384615383,6.615384615384615,0,0.0,26,0.02666666666666667,0,0,0.0,247,173,0,4895,173,247,0.0,-1.4082637222812897,-3.5678279350870055,-8.155035280198868,-1.4082637222812897,0.0,0.0,0.0,0.0,0.7794290683672634,0.0,0.2183938402772904,0.0,19,0,0.0,v11_no_util_9d,116,0.0002901353965183753,0.0
31,31,409,100031,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.325244680653164,0.8784,0.12338750623166561,0.11443808674812317,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.923076923076923,5.076923076923077,0,0.0,2,0.0020512820512820513,0,0,0.0,232,149,0,4924,149,232,0.0,-1.2054286790587074,-3.3217700546847935,-7.592617267850956,-1.2054286790587074,0.0,0.0,0.0,0.0,1.0172731259152026,0.0,0.10133271533497051,0.0,15,0,0.0,v11_no_util_9d,116,0.001402267174700107,0.0
32,32,409,100032,0,0,0,0.65,12,3951c3bae678,20,20,20,-16.263466594685692,0.8746,0.10587174482643605,0.10301697254180908,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.871794871794872,5.128205128205129,0,0.0,0,0.0,0,0,0.0,281,171,0,4828,171,281,0.0,-1.4156513501585903,-4.088049880894763,-9.344114013473746,-1.4156513501585903,0.0,0.0,0.0,0.0,0.7644656591875622,0.0,0.11006782582229188,0.0,17,0,0.0,v11_no_util_9d,116,0.0,0.0
33,33,409,100033,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.944463380109664,0.8708,0.09685907289385795,0.10975268483161926,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.743589743589745,4.256410256410256,0,0.0,0,0.0,0,0,0.0,238,163,0,4893,163,238,0.0,-1.3298181477537878,-3.434512590965853,-7.850314493636234,-1.3298181477537878,0.0,0.0,0.0,0.0,0.48151604537407,0.0,0.13839205057733223,0.0,19,0,0.0,v11_no_util_9d,116,0.0,0.0
34,34,409,100034,0,0,0,0.65,12,3951c3bae678,20,20,20,-12.3065987279539,0.867,0.09576862826943397,0.07692518830299377,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.333333333333332,6.666666666666667,0,0.0,26,0.02666666666666667,0,0,0.0,207,161,0,4936,161,207,0.0,-1.3006883865085883,-2.953763203676394,-6.75145875126033,-1.3006883865085883,0.0,0.0,0.0,0.0,0.7594683708259117,0.0,0.16621971996003523,0.0,16,0,0.0,v11_no_util_9d,116,0.0,0.0
35,35,409,100035,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.977469819178667,0.8632,0.08692224193364381,0.11287965625524521,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.307692307692307,5.6923076923076925,0,0.0,0,0.0,0,0,0.0,239,160,0,4897,160,239,0.0,-1.3033684905691143,-3.4606578202731773,-7.910075017767261,-1.3033684905691143,0.0,0.0,0.0,0.0,0.6605636690590762,0.0,0.09993429451786925,0.0,18,0,0.0,v11_no_util_9d,116,0.001629976560596357,0.0
36,36,409,100036,0,0,0,0.65,12,3951c3bae678,20,20,20,-10.156814397173083,0.8594,0.08405240960419177,0.08552762866020203,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,17.358974358974358,7.641025641025641,0,0.0,36,0.036923076923076927,0,0,0.0,154,197,0,5065,197,154,0.0,-1.555658283446356,-2.144281948346199,-4.901215881934169,-1.555658283446356,0.0,0.0,0.0,0.0,0.5720101119263186,0.0,0.25859989844227493,0.0,17,0,0.0,v11_no_util_9d,116,0.0,0.0
