method,method_label,sweep_value,util_level,util_sum,weighted_success_sum,taskset_count,success_count,schedulable_ratio,weighted_schedulability_at_util
amc_max,AMC-max,24.0,0.525,105.01336964444434,105.01336964444434,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.55,110.00685699365498,110.00685699365498,200,200,1.0,1.0
amc_max,AMC-max,24.0,0.575,115.0048395515689,113.27894562182159,200,197,0.985,0.9849928582442532
amc_max,AMC-max,24.0,0.6,120.00963364024196,116.40975631063284,200,194,0.97,0.9700034303879251
amc_max,AMC-max,24.0,0.625,124.99607846811647,118.12264374566726,200,189,0.945,0.9450107970851065
amc_max,AMC-max,24.0,0.65,130.00508445694797,119.60372663119011,200,184,0.92,0.9199926843691846
amc_max,AMC-max,24.0,0.675,135.00269462118504,122.8529442173055,200,182,0.91,0.9100036452015161
amc_max,AMC-max,24.0,0.7,140.00375468815457,120.40378917861202,200,172,0.86,0.8600040009412628
amc_max,AMC-max,24.0,0.725,145.0206546092933,121.81785083310501,200,168,0.84,0.8400034544134419
amc_max,AMC-max,24.0,0.75,150.01476045873474,109.51023965462127,200,146,0.73,0.7299964304828841
amc_max,AMC-max,24.0,0.775,155.01468349082893,117.80796636698479,200,152,0.76,0.7599794013962207
amc_max,AMC-max,24.0,0.8,160.02191835398423,99.21761953279113,200,124,0.62,0.6200251850081686
amc_max,AMC-max,24.0,0.825,164.99640424838228,101.47178328752662,200,123,0.615,0.6149939069870458
amc_max,AMC-max,24.0,0.85,170.01936756613347,88.41562237248634,200,104,0.52,0.5200326506219639
amc_max,AMC-max,24.0,0.875,175.00775202538244,68.25513080149148,200,78,0.39,0.3900120423899395
amc_max,AMC-max,24.0,0.9,180.00761281162778,49.506602644649426,200,55,0.275,0.2750250496152988
amc_max,AMC-max,24.0,0.925,184.994819170467,28.67129720878827,200,31,0.155,0.1549843251684176
amc_max,AMC-max,24.0,0.95,190.0118467473441,4.750768961767143,200,5,0.025,0.025002488229505865
amc_max,AMC-max,24.0,0.975,195.00368853052737,0.9745333130301415,200,1,0.005,0.004997512202840105
amc_max,AMC-max,40.0,0.025,5.481757610516888,5.481757610516888,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.05,10.279778118937044,10.279778118937044,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.075,15.18141877011241,15.18141877011241,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.1,20.144633353698545,20.144633353698545,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.125,25.124319727343043,25.124319727343043,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.15,30.103522518337602,30.103522518337602,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.175,35.06510996172969,35.06510996172969,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.2,40.074430836587624,40.074430836587624,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.225,45.063409159860065,45.063409159860065,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.25,50.05939015633336,50.05939015633336,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.275,55.063004835932894,55.063004835932894,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.3,60.0453528130648,60.0453528130648,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.325,65.03812492041287,65.03812492041287,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.35,70.0414852000571,70.0414852000571,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.375,75.04109019978124,75.04109019978124,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.4,80.04456918621763,80.04456918621763,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.425,85.04432595178719,85.04432595178719,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.45,90.03353794549389,90.03353794549389,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.475,95.02482380908893,95.02482380908893,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.5,100.02277208838866,100.02277208838866,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.525,105.0430634091767,105.0430634091767,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.55,110.04302751603419,110.04302751603419,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.575,115.03174324954855,115.03174324954855,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.6,120.01097058913588,120.01097058913588,200,200,1.0,1.0
amc_max,AMC-max,40.0,0.625,125.0237058364303,121.27560863941802,200,194,0.97,0.9700209078595388
amc_max,AMC-max,40.0,0.65,130.0057712374417,124.15437910369079,200,191,0.955,0.9549912894015761
amc_max,AMC-max,40.0,0.675,135.01716493567747,130.9663580886588,200,194,0.97,0.9699978380604535
amc_max,AMC-max,40.0,0.7,140.02637592321025,128.12921275494168,200,183,0.915,0.915036270203887
amc_max,AMC-max,40.0,0.725,145.00316489217354,121.07744211978674,200,167,0.835,0.8349986168220651
amc_max,AMC-max,40.0,0.75,150.01928276050242,126.76260982121163,200,169,0.845,0.8449754424141676
amc_max,AMC-max,40.0,0.775,155.02604265541356,113.93980030429272,200,147,0.735,0.7349719979471714
